# FORM			LEMMA			UPOS		UFEATS						MISC			URL
nepantla		nepantla		NOUN		_						_			_
calaqui			_			VERB		_						_			_
contlalia		_			VERB		_						_			_
techan			chantli			NOUN		_						Gloss=casa.de.alguien			_
quiyacanamiqui		_			VERB		_						_			_
conpinauhtiz		_			VERB		_						_			_
iyolloco		yollotl			NOUN		_						Locative=Yes			_
tlen			_			PRON		_						_			_
itztiyaz		_			VERB		_						_			_
quitztica		_			VERB		_						_			_
mictlampa		mictlan			NOUN		_						Locative=Yes|Gloss=en.el.infierno			_
itztiuh			_			VERB		_						_			_
concahua		_			VERB		_						_			_
conana			_			VERB		_						_			_
contzonhuia		_			VERB		_						_			_
quitetzammati		_			VERB		_						_			_
quihueyimati		_			VERB		_						_			_
temacehual		macehualli		NOUN		_						_			_
octli			octli			NOUN		_						Gloss=vino			_
chichitl		chichitl		NOUN		_						Gloss=baba			_
chicnahui		chicnahui		NUM		_						Gloss=nueve			_
yolqui			_			NOUN		_						_			_
epatl			_			NOUN		_						_			_
mopilhuatia		_			VERB		_						_			_
omiyex			iyexi			VERB		_						Gloss=echó.un.pedo			_
miyexi			iyexi			VERB		_						Gloss=echa.un.pedo			_
quihualiyexi		iyexi			VERB		_						_			_
centlalli		_			NOUN		_						_			_
teyacaxolocho		_			VERB		_						_			_
canaznequi		ana			VERB		_						_			_
quiquetza		_			VERB		_						_			_
icuitlapil		cuitlapilli		NOUN		_						_			_
connequiltia		nequiltia		VERB		_						_			_
ontlacuecuetlaxoa	tlacuecuetlaxoa		VERB		_						_			_
ontlamati		tlamati			VERB		_						Root=mati			_
oquicotonili		cotonilia		VERB		_						Root=cotona			_
motlanamictiz		tlanamictia		VERB		_						Root=namictia			_
motlapaltilia		tlapaltilia		VERB		_						Root=palti			_
quinemiti		nemitia			VERB		_						Root=nemi			_
quintetoquiliaya	toquilia		VERB		_						Root=toca			_
quintlacahualtia	cahualtia		VERB		_						Root=cahua			_
quintlacencuilizque	tlacencuilia		VERB		_						Root=cencui			_
quitemacehualtiaya	macehualtia		VERB		_						Root=macehua			_
quitetzammati		tetzammatia		VERB		_						_				_
cacoquetza		_			VERB		_						_			_
neci			_			VERB		_						_			_
huetzi			huetzi			VERB		_						_			_
temahua			_			VERB		_						_			_
tecahua			_			VERB		_						_			_
momana			_			VERB		_						_			_
mani			_			VERB		_						_			_
tlaalpichia		_			VERB		_						_			_
onaci			_			VERB		_						_			_
onchichaz		_			VERB		_						_			_
onmotempachoa		_			VERB		_						_			_
cuaztalihuiz		_			VERB		_						_			_
tepilhuan		_			NOUN		_						Gloss=hijos.de.alguien			_
onchicha		_			VERB		_						_			_
comoniz			_			VERB		_						_			_
quiquimichtin		quimichin		NOUN		_						Gloss=ratones			_
azcame			azcatl			NOUN		Number=Plur					Gloss=hormigas			_
quintoca		toca			VERB		_						_			_
moloni			_			VERB		_						_			_
oittoque		_			VERB		_						_			_
totecocolicauh		tecocolica		NOUN		_						Gloss=nuestro.enemigo			_
huehcahua		_			VERB		_						_			_
oquitocaque		_			VERB		_						_			_
tlami			_			VERB		_						_			_
tlatlacatecolo		tlacatecolotl		NOUN		_						Split=tlatlaca·tecolo			_
